match_no,ballnumber,inningno,over,outcome,batter,bowler,comment
40,116,2,19.1,1,Ripal Patel,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Ripal Patel, 1 run,"
40,117,2,19.2,1wd,Axar Patel,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Axar Patel, 1 wide,"
40,118,2,19.2,1wd,Axar Patel,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Axar Patel, 1 wide,"
40,119,2,19.2,1,Axar Patel,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Axar Patel, 1 run,"
40,120,2,19.3,1,Ripal Patel,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Ripal Patel, 1 run,"
40,121,2,19.4,6,Axar Patel,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Axar Patel, Six,"
40,122,2,19.5,1,Axar Patel,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Axar Patel, 1 run,"
40,123,2,19.6,4,Ripal Patel,Bhuvneshwar Kumar,"Bhuvneshwar Kumar to Ripal Patel, Four,"
41,1,1,0.1,1wd,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, 1 wide,"
41,2,1,0.1,0,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, no run,"
41,3,1,0.2,4,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, Four,"
41,4,1,0.3,0,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, no run,"
41,5,1,0.4,0,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, no run,"
41,6,1,0.5,1wd,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, 1 wide,"
41,7,1,0.5,0,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, no run,"
41,8,1,0.6,1,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, 1 run,"
41,9,1,1.1,1lb,Ruturaj Gaikwad,Kagiso Rabada,"Kagiso Rabada to Ruturaj Gaikwad, 1 leg bye,"
41,10,1,1.2,0,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, no run,"
